epoch,accuracy,loss,val_accuracy,val_loss
0,0.72210693359375,0.0003239092184230685,0.76458740234375,0.001765139983035624
1,0.7171707153320312,0.00031420987215824425,0.7315673828125,0.0017909829039126635
2,0.7196502685546875,0.0003242271486669779,0.7298583984375,0.0018309801816940308
3,0.725372314453125,0.00031303270952776074,0.744384765625,0.0017973344074562192
4,0.726531982421875,0.00031482669874094427,0.76776123046875,0.0017730249091982841
5,0.7219085693359375,0.0003118072636425495,0.75103759765625,0.0017672042595222592
6,0.7287063598632812,0.00031412369571626186,0.801025390625,0.0019039551261812449
7,0.7285308837890625,0.0003145087684970349,0.72418212890625,0.0018199097830802202
8,0.7353973388671875,0.00030891739879734814,0.769287109375,0.0018230529967695475
9,0.73175048828125,0.00031832620152272284,0.72137451171875,0.0017612581141293049
10,0.73687744140625,0.000309961149469018,0.739013671875,0.001779985730536282
11,0.735687255859375,0.0003096515138167888,0.70751953125,0.0018165421206504107
12,0.7384414672851562,0.00031924102222546935,0.71722412109375,0.0017986695747822523
13,0.7437744140625,0.00030728834099136293,0.767333984375,0.0017379391938447952
14,0.735931396484375,0.00030970515217632055,0.7149658203125,0.0017834294121712446
15,0.7418975830078125,0.00030654878355562687,0.75311279296875,0.0018738298676908016
16,0.7368850708007812,0.00030657227034680545,0.758056640625,0.0017578073311597109
17,0.7429046630859375,0.0003089804667979479,0.69482421875,0.0018461738945916295
18,0.742889404296875,0.0003064399934373796,0.7064208984375,0.0019174955086782575
19,0.7469711303710938,0.000303575856378302,0.7562255859375,0.0018823104910552502
20,0.7479171752929688,0.000297835620585829,0.73040771484375,0.0018232043366879225
21,0.7443389892578125,0.0003079374728258699,0.76751708984375,0.0017979262629523873
22,0.7489700317382812,0.0003026328340638429,0.73968505859375,0.001764247310347855
23,0.7473602294921875,0.00030173323466442525,0.71875,0.0018693405436351895
24,0.747772216796875,0.00030298385536298156,0.78759765625,0.0018205492524430156
25,0.7529525756835938,0.0003013426612596959,0.748046875,0.0018064280739054084
26,0.7532958984375,0.0003033755929209292,0.7779541015625,0.0017708194209262729
27,0.756561279296875,0.0002956877287942916,0.75537109375,0.001862604171037674
28,0.7600326538085938,0.00030105054611340165,0.7598876953125,0.001788234687410295
29,0.7584915161132812,0.00030256962054409087,0.74798583984375,0.0018735723569989204
30,0.75848388671875,0.00029547844314947724,0.75311279296875,0.0018700447399169207
31,0.7599945068359375,0.00030141344177536666,0.78363037109375,0.0017392534064128995
32,0.7643051147460938,0.00029509441810660064,0.71063232421875,0.001799826044589281
33,0.76220703125,0.0003008267958648503,0.779296875,0.0018353565828874707
34,0.7587509155273438,0.00028812032542191446,0.75604248046875,0.0018193155992776155
35,0.7701263427734375,0.00029887972050346434,0.73834228515625,0.0017946313600987196
36,0.7736587524414062,0.00029644754249602556,0.76055908203125,0.0017880749655887485
37,0.7746353149414062,0.00029460317455232143,0.77630615234375,0.0017617435660213232
38,0.7735824584960938,0.00030397679074667394,0.7877197265625,0.001854099566116929
39,0.7657394409179688,0.00029595824889838696,0.75555419921875,0.0017937220400199294
